task_id,task_type,baseline_mean_usd,intent_mean_usd,baseline_max_usd,intent_max_usd,delta_usd,delta_max_usd,ids,winner
planning_4_run0,planning,0.3619,0.3482,0.7705,0.5538,-0.0137,-0.2167,0.6826,intent
planning_4_run1,planning,0.3619,0.3482,0.7705,0.5538,-0.0137,-0.2167,0.6826,intent
planning_4_run2,planning,0.3619,0.3482,0.7705,0.5538,-0.0137,-0.2167,0.6826,intent
planning_5_run0,planning,0.459,0.3918,0.7754,0.551,-0.0671,-0.2244,0.7929,intent
planning_5_run1,planning,0.459,0.3918,0.7754,0.551,-0.0671,-0.2244,0.7929,intent
planning_5_run2,planning,0.459,0.3918,0.7754,0.551,-0.0671,-0.2244,0.7929,intent
planning_6_run0,planning,0.4562,0.3305,0.9147,0.5449,-0.1258,-0.3698,0.8173,intent
planning_6_run1,planning,0.4562,0.3305,0.9147,0.5449,-0.1258,-0.3698,0.8173,intent
planning_6_run2,planning,0.4562,0.3305,0.9147,0.5449,-0.1258,-0.3698,0.8173,intent
planning_7_run0,planning,0.4278,0.3184,0.8827,0.653,-0.1094,-0.2297,0.6376,intent
planning_7_run1,planning,0.4278,0.3184,0.8827,0.653,-0.1094,-0.2297,0.6376,intent
planning_7_run2,planning,0.4278,0.3184,0.8827,0.653,-0.1094,-0.2297,0.6376,intent
summarization_0_run0,summarization,0.5566,0.3786,0.921,0.5857,-0.1781,-0.3353,0.6078,intent
summarization_0_run1,summarization,0.5566,0.3786,0.921,0.5857,-0.1781,-0.3353,0.6078,intent
summarization_0_run2,summarization,0.5566,0.3786,0.921,0.5857,-0.1781,-0.3353,0.6078,intent
summarization_1_run0,summarization,0.5104,0.3584,0.8386,0.7692,-0.1521,-0.0694,0.5269,intent
summarization_1_run1,summarization,0.5104,0.3584,0.8386,0.7692,-0.1521,-0.0694,0.5269,intent
summarization_1_run2,summarization,0.5104,0.3584,0.8386,0.7692,-0.1521,-0.0694,0.5269,intent
summarization_2_run0,summarization,0.4229,0.3452,0.6944,0.5223,-0.0777,-0.1721,0.5569,intent
summarization_2_run1,summarization,0.4229,0.3452,0.6944,0.5223,-0.0777,-0.1721,0.5569,intent
summarization_2_run2,summarization,0.4229,0.3452,0.6944,0.5223,-0.0777,-0.1721,0.5569,intent
summarization_3_run0,summarization,0.5298,0.415,0.7906,0.7195,-0.1147,-0.0711,0.6458,intent
summarization_3_run1,summarization,0.5298,0.415,0.7906,0.7195,-0.1147,-0.0711,0.6458,intent
summarization_3_run2,summarization,0.5298,0.415,0.7906,0.7195,-0.1147,-0.0711,0.6458,intent
