task_id,task_type,baseline_mean_ids,intent_mean_ids,baseline_max_ids,intent_max_ids,delta_ids,delta_max_ids,goal_shift,winner
planning_4_run0,planning,0.3619,0.2753,0.7705,0.4958,-0.0866,-0.2747,0.6826,intent
planning_4_run1,planning,0.3619,0.2753,0.7705,0.4958,-0.0866,-0.2747,0.6826,intent
planning_4_run2,planning,0.3619,0.2753,0.7705,0.4958,-0.0866,-0.2747,0.6826,intent
planning_5_run0,planning,0.459,0.382,0.7754,0.622,-0.0769,-0.1534,0.7929,intent
planning_5_run1,planning,0.459,0.382,0.7754,0.622,-0.0769,-0.1534,0.7929,intent
planning_5_run2,planning,0.459,0.382,0.7754,0.622,-0.0769,-0.1534,0.7929,intent
planning_6_run0,planning,0.4562,0.3902,0.9147,0.6676,-0.066,-0.2471,0.8173,intent
planning_6_run1,planning,0.4562,0.3902,0.9147,0.6676,-0.066,-0.2471,0.8173,intent
planning_6_run2,planning,0.4562,0.3902,0.9147,0.6676,-0.066,-0.2471,0.8173,intent
planning_7_run0,planning,0.4278,0.3006,0.8827,0.4447,-0.1271,-0.438,0.6376,intent
planning_7_run1,planning,0.4278,0.3006,0.8827,0.4447,-0.1271,-0.438,0.6376,intent
planning_7_run2,planning,0.4278,0.3006,0.8827,0.4447,-0.1271,-0.438,0.6376,intent
summarization_0_run0,summarization,0.5566,0.6163,0.921,0.9878,0.0597,0.0668,0.6078,baseline
summarization_0_run1,summarization,0.5566,0.6163,0.921,0.9878,0.0597,0.0668,0.6078,baseline
summarization_0_run2,summarization,0.5566,0.6163,0.921,0.9878,0.0597,0.0668,0.6078,baseline
summarization_1_run0,summarization,0.5104,0.4931,0.8386,0.9646,-0.0173,0.126,0.5269,intent
summarization_1_run1,summarization,0.5104,0.4931,0.8386,0.9646,-0.0173,0.126,0.5269,intent
summarization_1_run2,summarization,0.5104,0.4931,0.8386,0.9646,-0.0173,0.126,0.5269,intent
summarization_2_run0,summarization,0.4229,0.4298,0.6944,0.8091,0.0069,0.1147,0.5569,baseline
summarization_2_run1,summarization,0.4229,0.4298,0.6944,0.8091,0.0069,0.1147,0.5569,baseline
summarization_2_run2,summarization,0.4229,0.4298,0.6944,0.8091,0.0069,0.1147,0.5569,baseline
summarization_3_run0,summarization,0.5298,0.6097,0.7906,0.8655,0.0799,0.0749,0.6458,baseline
summarization_3_run1,summarization,0.5298,0.6097,0.7906,0.8655,0.0799,0.0749,0.6458,baseline
summarization_3_run2,summarization,0.5298,0.6097,0.7906,0.8655,0.0799,0.0749,0.6458,baseline
