task_id,task_type,baseline_mean_ids,intent_mean_ids,baseline_max_ids,intent_max_ids,delta_ids,delta_max_ids,goal_shift,winner
planning_4_run0,planning,0.3774,0.3482,0.7704,0.5538,-0.0292,-0.2166,0.6826,intent
planning_4_run1,planning,0.3774,0.3482,0.7704,0.5538,-0.0292,-0.2166,0.6826,intent
planning_4_run2,planning,0.3774,0.3482,0.7704,0.5538,-0.0292,-0.2166,0.6826,intent
planning_5_run0,planning,0.4402,0.3918,0.698,0.551,-0.0484,-0.147,0.7929,intent
planning_5_run1,planning,0.4402,0.3918,0.698,0.551,-0.0484,-0.147,0.7929,intent
planning_5_run2,planning,0.4402,0.3918,0.698,0.551,-0.0484,-0.147,0.7929,intent
planning_6_run0,planning,0.4407,0.3305,0.8028,0.5449,-0.1102,-0.2579,0.8173,intent
planning_6_run1,planning,0.4407,0.3305,0.8028,0.5449,-0.1102,-0.2579,0.8173,intent
planning_6_run2,planning,0.4407,0.3305,0.8028,0.5449,-0.1102,-0.2579,0.8173,intent
planning_7_run0,planning,0.3882,0.3184,0.8822,0.653,-0.0698,-0.2292,0.6376,intent
planning_7_run1,planning,0.3882,0.3184,0.8822,0.653,-0.0698,-0.2292,0.6376,intent
planning_7_run2,planning,0.3882,0.3184,0.8822,0.653,-0.0698,-0.2292,0.6376,intent
summarization_0_run0,summarization,0.4935,0.3786,0.9665,0.5857,-0.115,-0.3808,0.6078,intent
summarization_0_run1,summarization,0.4935,0.3786,0.9665,0.5857,-0.115,-0.3808,0.6078,intent
summarization_0_run2,summarization,0.4935,0.3786,0.9665,0.5857,-0.115,-0.3808,0.6078,intent
summarization_1_run0,summarization,0.4978,0.3584,0.9526,0.7692,-0.1395,-0.1834,0.5269,intent
summarization_1_run1,summarization,0.4978,0.3584,0.9526,0.7692,-0.1395,-0.1834,0.5269,intent
summarization_1_run2,summarization,0.4978,0.3584,0.9526,0.7692,-0.1395,-0.1834,0.5269,intent
summarization_2_run0,summarization,0.3698,0.3452,0.8061,0.5223,-0.0246,-0.2838,0.5569,intent
summarization_2_run1,summarization,0.3698,0.3452,0.8061,0.5223,-0.0246,-0.2838,0.5569,intent
summarization_2_run2,summarization,0.3698,0.3452,0.8061,0.5223,-0.0246,-0.2838,0.5569,intent
summarization_3_run0,summarization,0.4524,0.415,0.7796,0.7195,-0.0374,-0.0601,0.6458,intent
summarization_3_run1,summarization,0.4524,0.415,0.7796,0.7195,-0.0374,-0.0601,0.6458,intent
summarization_3_run2,summarization,0.4524,0.415,0.7796,0.7195,-0.0374,-0.0601,0.6458,intent
