task_id,task_type,baseline_mean_ids,intent_mean_ids,baseline_max_ids,intent_max_ids,delta_mean,delta_max,winner
planning_4_run0,planning,0.3855,0.3897,0.4914,0.5452,0.0042,0.0538,baseline
planning_4_run1,planning,0.3855,0.3897,0.4914,0.5452,0.0042,0.0538,baseline
planning_4_run2,planning,0.3855,0.3897,0.4914,0.5452,0.0042,0.0538,baseline
planning_5_run0,planning,0.5787,0.6003,0.674,0.6786,0.0216,0.0046,baseline
planning_5_run1,planning,0.5787,0.6003,0.674,0.6786,0.0216,0.0046,baseline
planning_5_run2,planning,0.5787,0.6003,0.674,0.6786,0.0216,0.0046,baseline
planning_6_run0,planning,0.5603,0.253,0.6713,0.418,-0.3073,-0.2533,intent
planning_6_run1,planning,0.5603,0.253,0.6713,0.418,-0.3073,-0.2533,intent
planning_6_run2,planning,0.5603,0.253,0.6713,0.418,-0.3073,-0.2533,intent
planning_7_run0,planning,0.3769,0.4277,0.4773,0.5216,0.0508,0.0443,baseline
planning_7_run1,planning,0.3769,0.4277,0.4773,0.5216,0.0508,0.0443,baseline
planning_7_run2,planning,0.3769,0.4277,0.4773,0.5216,0.0508,0.0443,baseline
summarization_0_run0,summarization,0.3652,0.2676,0.4734,0.3442,-0.0975,-0.1292,intent
summarization_0_run1,summarization,0.3652,0.2676,0.4734,0.3442,-0.0975,-0.1292,intent
summarization_0_run2,summarization,0.3652,0.2676,0.4734,0.3442,-0.0975,-0.1292,intent
summarization_1_run0,summarization,0.8542,0.475,0.9136,0.6277,-0.3792,-0.2859,intent
summarization_1_run1,summarization,0.8542,0.475,0.9136,0.6277,-0.3792,-0.2859,intent
summarization_1_run2,summarization,0.8542,0.475,0.9136,0.6277,-0.3792,-0.2859,intent
summarization_2_run0,summarization,0.4524,0.3095,0.6789,0.3709,-0.1429,-0.308,intent
summarization_2_run1,summarization,0.4524,0.3095,0.6789,0.3709,-0.1429,-0.308,intent
summarization_2_run2,summarization,0.4524,0.3095,0.6789,0.3709,-0.1429,-0.308,intent
summarization_3_run0,summarization,0.6069,0.509,0.6901,0.7318,-0.0979,0.0417,intent
summarization_3_run1,summarization,0.6069,0.509,0.6901,0.7318,-0.0979,0.0417,intent
summarization_3_run2,summarization,0.6069,0.509,0.6901,0.7318,-0.0979,0.0417,intent
