task_id,task_type,baseline_mean_usd,intent_mean_usd,baseline_max_usd,intent_max_usd,delta_usd,delta_max_usd,ids,winner
planning_4_run0,planning,0.3619,0.3228,0.7705,0.581,-0.0391,-0.1895,0.6826,intent
planning_4_run1,planning,0.3619,0.3228,0.7705,0.581,-0.0391,-0.1895,0.6826,intent
planning_4_run2,planning,0.3619,0.3228,0.7705,0.581,-0.0391,-0.1895,0.6826,intent
planning_5_run0,planning,0.459,0.3869,0.7754,0.6344,-0.072,-0.141,0.7929,intent
planning_5_run1,planning,0.459,0.3869,0.7754,0.6344,-0.072,-0.141,0.7929,intent
planning_5_run2,planning,0.459,0.3869,0.7754,0.6344,-0.072,-0.141,0.7929,intent
planning_6_run0,planning,0.4562,0.4182,0.9147,0.6169,-0.038,-0.2978,0.8173,intent
planning_6_run1,planning,0.4562,0.4182,0.9147,0.6169,-0.038,-0.2978,0.8173,intent
planning_6_run2,planning,0.4562,0.4182,0.9147,0.6169,-0.038,-0.2978,0.8173,intent
planning_7_run0,planning,0.4278,0.3506,0.8827,0.5308,-0.0772,-0.3519,0.6376,intent
planning_7_run1,planning,0.4278,0.3506,0.8827,0.5308,-0.0772,-0.3519,0.6376,intent
planning_7_run2,planning,0.4278,0.3506,0.8827,0.5308,-0.0772,-0.3519,0.6376,intent
summarization_0_run0,summarization,0.5566,0.5457,0.921,0.9374,-0.0109,0.0164,0.6078,intent
summarization_0_run1,summarization,0.5566,0.5457,0.921,0.9374,-0.0109,0.0164,0.6078,intent
summarization_0_run2,summarization,0.5566,0.5457,0.921,0.9374,-0.0109,0.0164,0.6078,intent
summarization_1_run0,summarization,0.5104,0.5136,0.8386,0.8376,0.0032,-0.001,0.5269,baseline
summarization_1_run1,summarization,0.5104,0.5136,0.8386,0.8376,0.0032,-0.001,0.5269,baseline
summarization_1_run2,summarization,0.5104,0.5136,0.8386,0.8376,0.0032,-0.001,0.5269,baseline
summarization_2_run0,summarization,0.4229,0.3718,0.6944,0.6492,-0.0512,-0.0452,0.5569,intent
summarization_2_run1,summarization,0.4229,0.3718,0.6944,0.6492,-0.0512,-0.0452,0.5569,intent
summarization_2_run2,summarization,0.4229,0.3718,0.6944,0.6492,-0.0512,-0.0452,0.5569,intent
summarization_3_run0,summarization,0.5298,0.5362,0.7906,0.7764,0.0065,-0.0142,0.6458,baseline
summarization_3_run1,summarization,0.5298,0.5362,0.7906,0.7764,0.0065,-0.0142,0.6458,baseline
summarization_3_run2,summarization,0.5298,0.5362,0.7906,0.7764,0.0065,-0.0142,0.6458,baseline
