task_id,task_type,baseline_mean_usd,intent_mean_usd,baseline_max_usd,intent_max_usd,delta_usd,delta_max_usd,ids,winner
planning_4_run0,planning,0.3294,0.3475,0.6111,0.6257,0.0181,0.0146,0.6826,baseline
planning_4_run1,planning,0.3294,0.3475,0.6111,0.6257,0.0181,0.0146,0.6826,baseline
planning_4_run2,planning,0.3294,0.3475,0.6111,0.6257,0.0181,0.0146,0.6826,baseline
planning_5_run0,planning,0.3987,0.3339,0.6957,0.566,-0.0648,-0.1297,0.7929,intent
planning_5_run1,planning,0.3987,0.3339,0.6957,0.566,-0.0648,-0.1297,0.7929,intent
planning_5_run2,planning,0.3987,0.3339,0.6957,0.566,-0.0648,-0.1297,0.7929,intent
planning_6_run0,planning,0.3819,0.3828,0.7235,0.5449,0.0009,-0.1786,0.8173,baseline
planning_6_run1,planning,0.3819,0.3828,0.7235,0.5449,0.0009,-0.1786,0.8173,baseline
planning_6_run2,planning,0.3819,0.3828,0.7235,0.5449,0.0009,-0.1786,0.8173,baseline
planning_7_run0,planning,0.3143,0.2177,0.5831,0.3746,-0.0965,-0.2085,0.6376,intent
planning_7_run1,planning,0.3143,0.2177,0.5831,0.3746,-0.0965,-0.2085,0.6376,intent
planning_7_run2,planning,0.3143,0.2177,0.5831,0.3746,-0.0965,-0.2085,0.6376,intent
summarization_0_run0,summarization,0.5992,0.4826,0.994,0.9581,-0.1165,-0.0359,0.6078,intent
summarization_0_run1,summarization,0.5992,0.4826,0.994,0.9581,-0.1165,-0.0359,0.6078,intent
summarization_0_run2,summarization,0.5992,0.4826,0.994,0.9581,-0.1165,-0.0359,0.6078,intent
summarization_1_run0,summarization,0.568,0.445,0.9176,0.8602,-0.123,-0.0574,0.5269,intent
summarization_1_run1,summarization,0.568,0.445,0.9176,0.8602,-0.123,-0.0574,0.5269,intent
summarization_1_run2,summarization,0.568,0.445,0.9176,0.8602,-0.123,-0.0574,0.5269,intent
summarization_2_run0,summarization,0.4397,0.3547,0.7878,0.6467,-0.085,-0.1411,0.5569,intent
summarization_2_run1,summarization,0.4397,0.3547,0.7878,0.6467,-0.085,-0.1411,0.5569,intent
summarization_2_run2,summarization,0.4397,0.3547,0.7878,0.6467,-0.085,-0.1411,0.5569,intent
summarization_3_run0,summarization,0.5545,0.4309,0.9241,0.849,-0.1237,-0.0751,0.6458,intent
summarization_3_run1,summarization,0.5545,0.4309,0.9241,0.849,-0.1237,-0.0751,0.6458,intent
summarization_3_run2,summarization,0.5545,0.4309,0.9241,0.849,-0.1237,-0.0751,0.6458,intent
